source,target,type,note
U.S.S. Enterprise,联邦星舰企业号,ship,舰名翻译
Enterprise,企业号,ship,舰名翻译
U.S.S. Titan,联邦星舰泰坦号,ship,舰名翻译
Titan,泰坦号,ship,舰名翻译
U.S.S. Aventine,联邦星舰安文婷号,ship,舰名翻译
Aventine,安文婷号,ship,舰名翻译
Voyager,航海者号,ship,舰名翻译
U.S.S. Voyager,联邦星舰航海者号,ship,舰名翻译
Defiant,挑战号,ship,舰名翻译
U.S.S. Defiant,联邦星舰挑战号,ship,舰名翻译
Frankenstein,科学怪人,ship,舰名翻译
supercube,超级方块,ship,舰名翻译
Borg cube,博格方块,ship,舰名翻译
Cube,方块,ship,舰名翻译
Borg sphere,博格球,ship,舰名翻译
Deep Space Nine,深空九号,ship,舰名翻译
DS9,深空九号,ship,舰名翻译
Prometheus,普罗米修斯号,ship,舰名翻译
U.S.S. Prometheus,联邦星舰普罗米修斯号,ship,舰名翻译
Equinox,分节号,ship,舰名翻译
U.S.S. Equinox,联邦星舰分节号,ship,舰名
