source,target,type,note
Starfleet,星际舰队,org,
United Federation of Planets,星际联邦,org,
Klingon Empire,克林贡帝国,org,
Romulan Star Empire,罗慕伦星际帝国,org,
Imperial Romulan State,罗慕伦帝国,org,
Borg Collective,博格集合体,org,
Collective,集合体,org,
Ferengi Alliance,佛瑞吉联盟,org,
Bajoran Militia,贝久民兵,org,
Cardassian Union,卡达西联盟,org,
Cardassian,卡达西,org,
Dominion,自治同盟,org,
Vulcan,瓦肯,org,
Vulcan High Command,瓦肯最高指挥部,org,
Breen Confederacy,布林邦联,org,
Bajoran Provisional Government,贝久临时政府,org,
Maquis,马奇游击队,org,
Section 31,31区,org,
Starfleet Security,星际舰队安全部,org,
Caeliar,凯利亚,org,
United Earth,联合地球,org,
Trill,楚尔,org,
Breen,布林,org,
Jem’Hadar,詹哈达,org,
Department of Temporal Investigations, ,org,
Federation, 联邦,org,
Typhon Pact, 台风协约,org,
